flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications,data_evento,duracao_minutos,instrumentos
2026-03-24T17:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-24 17:18:00+00:00,2026-03-24 17:54:00+00:00,2026-03-24 18:25:00+00:00,C7.2,N12E90,,,2026-03-24T21:48Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45287/-1,[{'activityID': '2026-03-24T20:15:00-CME-001'}],,2026-03-24,67.0,GOES-P: EXIS 1.0-8.0
2026-03-24T23:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-24 23:52:00+00:00,2026-03-25 00:12:00+00:00,2026-03-25 00:14:00+00:00,C2.9,S14W52,14400.0,Double-peaked flare preceding a C3.7 flare peaking at 2026-03-25T00:30Z.,2026-03-25T01:51Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45290/-1,[{'activityID': '2026-03-25T00:45:00-CME-001'}],,2026-03-24,22.0,GOES-P: EXIS 1.0-8.0
2026-03-26T06:11:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-26 06:11:00+00:00,2026-03-26 06:23:00+00:00,2026-03-26 06:31:00+00:00,M3.9,N15E60,14403.0,,2026-03-26T11:07Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45314/-1,[{'activityID': '2026-03-26T06:48:00-CME-001'}],,2026-03-26,20.0,GOES-P: EXIS 1.0-8.0
2026-03-28T02:16:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-28 02:16:00+00:00,2026-03-28 04:18:00+00:00,2026-03-28 05:35:00+00:00,M1.3,S24E70,14405.0,,2026-03-28T13:40Z,5,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45355/-1,[{'activityID': '2026-03-28T03:48:00-CME-001'}],,2026-03-28,199.0,GOES-P: EXIS 1.0-8.0
2026-03-28T11:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-28 11:18:00+00:00,2026-03-28 11:35:00+00:00,2026-03-28 11:57:00+00:00,C4.1,N15E57,14404.0,,2026-03-28T14:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45368/-1,[{'activityID': '2026-03-28T12:23:00-CME-001'}],,2026-03-28,39.0,GOES-P: EXIS 1.0-8.0
2026-03-30T02:47:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-30 02:47:00+00:00,2026-03-30 03:19:00+00:00,2026-03-30 03:44:00+00:00,X1.4,S27E45,14405.0,,2026-03-30T10:36Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45392/-1,[{'activityID': '2026-03-30T03:24:00-CME-001'}],"[{'messageID': '20260330-AL-001', 'messageIssueTime': '2026-03-30T03:07Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45393/1'}, {'messageID': '20260330-AL-002', 'messageIssueTime': '2026-03-30T03:46Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45394/1'}]",2026-03-30,57.0,GOES-P: EXIS 1.0-8.0
2026-03-31T00:55:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-31 00:55:00+00:00,2026-03-31 01:01:00+00:00,2026-03-31 01:04:00+00:00,C1.5,N16E00,14403.0,,2026-03-31T12:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45429/-1,[{'activityID': '2026-03-31T01:48:00-CME-001'}],,2026-03-31,9.0,GOES-P: EXIS 1.0-8.0
2026-03-31T10:27:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-03-31 10:27:00+00:00,2026-03-31 10:39:00+00:00,2026-03-31 10:49:00+00:00,C1.1,N16W05,14403.0,,2026-03-31T18:01Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45434/-1,[{'activityID': '2026-03-31T11:24:00-CME-001'}],,2026-03-31,22.0,GOES-P: EXIS 1.0-8.0
2026-04-01T13:38:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-01 13:38:00+00:00,2026-04-01 13:48:00+00:00,2026-04-01 13:55:00+00:00,C5.3,N02E30,14409.0,,2026-04-01T20:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45473/-1,[{'activityID': '2026-04-01T15:48:00-CME-001'}],,2026-04-01,17.0,GOES-P: EXIS 1.0-8.0
2026-04-01T23:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-01 23:08:00+00:00,2026-04-01 23:28:00+00:00,2026-04-01 23:45:00+00:00,C6.1,N20W23,14403.0,,2026-04-02T02:57Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45491/-1,[{'activityID': '2026-04-01T23:45:00-CME-001'}],,2026-04-01,37.0,GOES-P: EXIS 1.0-8.0
